id_estudiante,año_academico,semestre,asignatura,aula,P1,P2,P3,P4,CF,asistencia
1,2025-2026,1,Lengua y Literatura,Aula 1,85,88,90,87,87.5,95
1,2025-2026,1,Inglés,Aula 1,90,91,89,88,89.5,98
1,2025-2026,1,Francés,Aula 1,88,85,87,90,87.5,92
1,2025-2026,1,Matemática,Aula 1,92,90,91,93,91.5,96
1,2025-2026,1,Ciencias Sociales,Aula 1,94,92,93,91,92.5,97
1,2025-2026,1,Ciencias de la Naturaleza,Aula 1,89,91,88,90,89.5,94
1,2025-2026,1,Educación Artística,Aula 1,95,93,94,96,94.5,99
1,2025-2026,1,Educación Física,Aula 1,93,94,92,95,93.5,100
1,2025-2026,1,Formación Humana y Religiosa,Aula 1,90,92,91,89,90.5,96
1,2025-2026,1,Informática,Aula 1,96,94,95,93,94.5,98
1,2025-2026,2,Lengua y Literatura,Aula 1,88,90,89,91,89.5,96
1,2025-2026,2,Inglés,Aula 1,92,91,93,90,91.5,99
1,2025-2026,2,Francés,Aula 1,90,88,92,89,89.75,93
1,2025-2026,2,Matemática,Aula 1,94,95,92,96,94.25,97
1,2025-2026,2,Ciencias Sociales,Aula 1,91,93,90,92,91.5,95
1,2025-2026,2,Ciencias de la Naturaleza,Aula 1,93,91,94,92,92.5,96
1,2025-2026,2,Educación Artística,Aula 1,96,94,97,95,95.5,100
1,2025-2026,2,Educación Física,Aula 1,95,96,94,97,95.5,100
1,2025-2026,2,Formación Humana y Religiosa,Aula 1,92,90,93,91,91.5,97
1,2025-2026,2,Informática,Aula 1,98,96,97,95,96.5,99
,,,,,,,,,,
2,2025-2026,1,Lengua y Literatura,Aula 1,60,55,58,62,58.75,75
2,2025-2026,1,Inglés,Aula 1,65,70,68,72,68.75,80
2,2025-2026,1,Francés,Aula 1,58,60,55,57,57.5,70
2,2025-2026,1,Matemática,Aula 1,62,65,60,58,61.25,78
2,2025-2026,1,Ciencias Sociales,Aula 1,70,68,72,65,68.75,82
2,2025-2026,1,Ciencias de la Naturaleza,Aula 1,55,58,60,52,56.25,70
2,2025-2026,1,Educación Artística,Aula 1,68,72,70,65,68.75,85
2,2025-2026,1,Educación Física,Aula 1,75,78,72,70,73.75,90
2,2025-2026,1,Formación Humana y Religiosa,Aula 1,62,65,68,60,63.75,75
2,2025-2026,1,Informática,Aula 1,80,78,82,75,78.75,88
